datum_vakcinace,vykázaná očkování
"Dec 27, 2020",1247
"Dec 28, 2020",2229
"Dec 29, 2020",3368
"Dec 30, 2020",3432
"Dec 31, 2020",1304
"Jan 1, 2021",264
"Jan 2, 2021",1249
"Jan 3, 2021",907
"Jan 4, 2021",3435
"Jan 5, 2021",4303
"Jan 6, 2021",5610
"Jan 7, 2021",7759
"Jan 8, 2021",9845
"Jan 9, 2021",1967
"Jan 10, 2021",1688
"Jan 11, 2021",9509
"Jan 12, 2021",12914
"Jan 13, 2021",13245
"Jan 14, 2021",14552
"Jan 15, 2021",13242
"Jan 16, 2021",3249
"Jan 17, 2021",3033
"Jan 18, 2021",13373
"Jan 19, 2021",14504
"Jan 20, 2021",14480
"Jan 21, 2021",15726
"Jan 22, 2021",13850
"Jan 23, 2021",3575
"Jan 24, 2021",2444
"Jan 25, 2021",11430
"Jan 26, 2021",12103
